filename,path,label,source,age,age_group
celeb_data_real_id9_0007.mp4,all_data_videos\real\celeb_data_real_id9_0007.mp4,real,celeb,25.0,19-35
celeb_data_real_id6_0006.mp4,all_data_videos\real\celeb_data_real_id6_0006.mp4,real,celeb,,36-50
celeb_data_real_id9_0004.mp4,all_data_videos\real\celeb_data_real_id9_0004.mp4,real,celeb,,51+
celeb_data_fake_id21_id35_0001.mp4,all_data_videos\fake\celeb_data_fake_id21_id35_0001.mp4,fake,celeb,,36-50
celeb_data_real_id7_0000.mp4,all_data_videos\real\celeb_data_real_id7_0000.mp4,real,celeb,26.0,19-35
celeb_data_real_id8_0005.mp4,all_data_videos\real\celeb_data_real_id8_0005.mp4,real,celeb,,51+
celeb_data_real_id7_0008.mp4,all_data_videos\real\celeb_data_real_id7_0008.mp4,real,celeb,,36-50
celeb_data_real_id6_0007.mp4,all_data_videos\real\celeb_data_real_id6_0007.mp4,real,celeb,,0-10
celeb_data_fake_id21_id32_0008.mp4,all_data_videos\fake\celeb_data_fake_id21_id32_0008.mp4,fake,celeb,,51+
celeb_data_real_id9_0003.mp4,all_data_videos\real\celeb_data_real_id9_0003.mp4,real,celeb,29.0,19-35
celeb_data_fake_id21_id34_0001.mp4,all_data_videos\fake\celeb_data_fake_id21_id34_0001.mp4,fake,celeb,,19-35
celeb_data_fake_id21_id33_0000.mp4,all_data_videos\fake\celeb_data_fake_id21_id33_0000.mp4,fake,celeb,42.0,36-50
celeb_data_real_id6_0005.mp4,all_data_videos\real\celeb_data_real_id6_0005.mp4,real,celeb,41.0,36-50
celeb_data_real_id6_0009.mp4,all_data_videos\real\celeb_data_real_id6_0009.mp4,real,celeb,,10-19
celeb_data_fake_id21_id33_0004.mp4,all_data_videos\fake\celeb_data_fake_id21_id33_0004.mp4,fake,celeb,,19-35
celeb_data_fake_id21_id33_0001.mp4,all_data_videos\fake\celeb_data_fake_id21_id33_0001.mp4,fake,celeb,,51+
celeb_data_fake_id21_id34_0009.mp4,all_data_videos\fake\celeb_data_fake_id21_id34_0009.mp4,fake,celeb,,36-50
celeb_data_fake_id21_id34_0007.mp4,all_data_videos\fake\celeb_data_fake_id21_id34_0007.mp4,fake,celeb,,36-50
celeb_data_fake_id21_id32_0009.mp4,all_data_videos\fake\celeb_data_fake_id21_id32_0009.mp4,fake,celeb,,0-10
celeb_data_fake_id21_id34_0000.mp4,all_data_videos\fake\celeb_data_fake_id21_id34_0000.mp4,fake,celeb,48.0,36-50
celeb_data_fake_id21_id33_0005.mp4,all_data_videos\fake\celeb_data_fake_id21_id33_0005.mp4,fake,celeb,,10-19
celeb_data_real_id9_0006.mp4,all_data_videos\real\celeb_data_real_id9_0006.mp4,real,celeb,,51+
celeb_data_fake_id21_id35_0007.mp4,all_data_videos\fake\celeb_data_fake_id21_id35_0007.mp4,fake,celeb,,19-35
celeb_data_fake_id21_id35_0009.mp4,all_data_videos\fake\celeb_data_fake_id21_id35_0009.mp4,fake,celeb,,51+
celeb_data_fake_id21_id35_0000.mp4,all_data_videos\fake\celeb_data_fake_id21_id35_0000.mp4,fake,celeb,42.0,36-50
celeb_data_real_id10_0002.mp4,all_data_videos\real\celeb_data_real_id10_0002.mp4,real,celeb,,36-50
celeb_data_fake_id21_id37_0000.mp4,all_data_videos\fake\celeb_data_fake_id21_id37_0000.mp4,fake,celeb,26.0,19-35
